Stock,Name,Count,Volume,Cost,Yesterday,First,LastTradePrice,LastTradeChange,LastTradePercent,AvgPrice,AvgChange,AvgPercent,LowestPrice,HighestPrice,EPS,PE,BuyCount,BuyVolume,BuyPrice,SellCount,SellVolume,SellPrice
شفارا,پتروشيمي فارابي,140,1763389,13349502430,7570,7350,7620,50,0.66,7570,0,0,7350,7760,169,44.79,1,20220,7620,7660,1150,1
وفردا,بيمه هوشمند فردا 50% تاديه,138,3261805,4853565840,1533,1488,1488,-45,-2.94,1522,-11,-0.72,1488,1488,41,37.12,0,0,0,1488,89570654,2866
توريل,توكاريل,137,4463349,33152750100,7080,7300,7430,350,4.94,7430,350,4.94,7300,7430,430,17.28,37,3083068,7430,0,0,0
كنور,توسعه معدني و صنعتي صبانور,136,549808,13594020410,24070,24990,24280,210,0.87,24160,90,0.37,24000,25000,1578,15.31,1,3000,24290,24400,7200,1
پسهند,صنايع‌ لاستيكي‌  سهند,136,137611,7453262180,52180,54730,54290,2110,4.04,53210,1030,1.97,53410,54730,5662,9.4,1,1084,54290,54300,3071,2
كباده,توليد خاك نسوزاستقلال آباده,133,812029,11390801100,13730,14000,13870,140,1.02,13910,180,1.31,13850,14130,772,18.02,1,10000,13850,13870,75723,1
قنقش,قند نقش جهان,130,44716,16320098050,374300,385350,363100,-11200,-2.99,366800,-7500,-2,363100,385350,0,0,0,0,0,363100,22035,11
دشيري,شيرين دارو,129,119111,15186652500,131400,127500,127500,-3900,-2.97,128250,-3150,-2.4,127500,127500,6017,21.31,1,433,127500,127500,433,1
ودانا,سرمايه گذاري دانايان,128,3810134,24795412690,6330,6510,6510,180,2.84,6510,180,2.84,6400,6510,1804,3.61,1,44759,6510,6900,20000,1
غمهرا,توليدي‌مهرام‌,124,553137,8649045460,15530,15400,15600,70,0.45,15590,60,0.39,15400,15910,790,19.73,1,350,15590,15600,11236,3
شسم,توليد سموم‌ علف‌ كش,123,34455,9045347950,262250,259000,257100,-5150,-1.96,262500,250,0.1,257050,267450,8829,29.73,2,1196,257050,262750,20,1
سجام,مجتمع سيمان غرب آسيا,123,2141440,6447316575,2998,2914,3020,22,0.73,3002,4,0.13,2912,3078,144,20.85,1,9850,3020,3049,20000,4
بميلا,توسعه سرمايه گذاري ميلاد پارس,122,1255348,16964849730,13340,13590,13480,140,1.05,13510,170,1.27,13340,13740,0,0,1,10000,13410,13680,17744,1
سلار,شركت سيمان لارستان,121,472360,21968488350,45450,46800,46800,1350,2.97,46500,1050,2.31,44150,46800,1542,30.16,1,4362,46550,0,0,0
ما,بيمه  ما,120,3688153,17154549680,4337,4640,4750,413,9.52,4651,314,7.24,4640,4750,515,9.03,1,2648,4690,4690,14400,1
آبين,كشت و صنعت آبشيرين,119,2425533,20228945220,8590,8340,8340,-250,-2.91,8340,-250,-2.91,8340,8340,113,73.81,0,0,0,8340,29818390,303
سكرما,سيمان‌ كرمان‌,118,368314,9271203690,24960,24120,25210,250,1,25090,130,0.52,24120,25800,3372,7.44,1,200,25250,25600,5387,2
پلوله,گازلوله‌,113,495619,19914849250,39750,40000,40150,400,1.01,40200,450,1.13,39800,40800,3816,10.53,3,245251,40000,40600,1036,1
قاروم,قند اروميه,112,129951,20149583450,151700,148900,156250,4550,3,155050,3350,2.21,148900,156250,2941,52.72,4,6230,156250,158000,2000,1
كيا,كيا الكترود شرق,111,435935,7147277160,16120,16810,16360,240,1.49,16400,280,1.74,16000,16840,493,33.27,1,500,16000,16370,2000,1
وايرا,سرمايه گذاري صنايع ايران,110,4574136,15691735814,3463,3565,3360,-103,-2.97,3439,-24,-0.69,3360,3565,119,28.9,0,0,0,3360,9627731,105
شساخت,مهندسي و ساختمان صنايع نفت,109,291099,14793853100,49500,49000,50950,1450,2.93,49900,400,0.81,49000,50950,1289,38.71,27,240492,50950,55200,7390,1
سفارود,كارخانه فارسيت درود,106,775572,10344186120,12980,13310,13200,220,1.69,13340,360,2.77,13160,13360,-584,-22.84,1,91905,13200,13330,10419,1
غفارس,شير پاستوريزه پگاه فارس,106,1266062,21966175700,16530,17350,17350,820,4.96,17350,820,4.96,17350,17350,1010,17.18,91,5200820,17350,0,0,0
لپيام,گسترش صنايع پيام,106,392084,16256086650,40300,41500,41500,1200,2.98,41200,900,2.23,41000,41500,373,110.46,10,95349,41500,0,0,0
وحافظ,بيمه حافظ,105,6415660,30031704460,4545,4681,4681,136,2.99,4681,136,2.99,4681,4681,113,41.42,25,2972913,4681,0,0,0
ساراب,سيمان‌ داراب‌,104,72330,2321504030,31810,31580,31880,70,0.22,31850,40,0.13,31280,32470,3182,10.01,2,713,31860,32340,250,1
تپولا,مهندسي مرآت پولاد,100,327375,7659138400,22800,23450,23450,650,2.85,23000,200,0.88,23050,23450,-248,-92.74,1,2150,23350,0,0,0
فماك,ماداكتو استيل كرد,100,1152334,19300947410,15970,16570,16760,790,4.95,16750,780,4.88,16450,16760,-177,-94.63,1,3450,16760,17150,1000,1
كساوه,صنايع‌ كاشي‌ و سراميك‌ سينا,98,94659,7440437730,77350,76100,78010,660,0.85,77910,560,0.72,76100,79890,6241,12.48,1,127,78020,79150,832,1
ثزاگرس,سرمايه گذاري توسعه عمران زاگرس,87,252945,9260254600,37700,36600,36600,-1100,-2.92,37200,-500,-1.33,36600,36800,-393,-94.66,0,0,0,36600,6000,2
دپارس,پارس‌ دارو,87,114091,6905921270,59680,59950,60550,870,1.46,59940,260,0.44,59950,61400,4257,14.08,1,2825,60200,60550,285,1
گپارس,امور رفاهي كارگزاران پارس,87,53740,8133114850,151700,156050,155350,3650,2.41,151550,-150,-0.1,147600,156250,481,315.07,1,500,148650,154000,700,1
شمواد,توليد مواداوليه الياف مصنوعي,84,192545,19437417750,98050,100950,100950,2900,2.96,100800,2750,2.8,100950,100950,10481,9.62,29,321010,100950,0,0,0
شكبير,پتروشيمي اميركبير,84,142331,14858825250,101800,104750,101700,-100,-0.1,102200,400,0.39,101650,104850,11750,8.7,2,2364,100600,104500,12470,1
قجام,فرآوردههاي غذايي وقندتربت‌جام‌,82,2519410,22422749000,9170,8900,8900,-270,-2.94,8900,-270,-2.94,8900,8900,0,0,0,0,0,8900,3870981,111
دحاوي,الحاوي,80,646225,10927664750,16420,16910,16910,490,2.98,16680,260,1.58,16910,16910,1924,8.67,38,1686676,16910,0,0,0
دقاضي,داروسازي شهيد قاضي,80,543835,12937938000,23150,23000,23800,650,2.81,23550,400,1.73,23000,23800,2770,8.5,16,363806,23800,26100,7411,1
داراب,پتروشيمي داراب,75,3769706,5213503398,1343,1383,1383,40,2.98,1353,10,0.74,1383,1383,18,75.17,76,9708610,1383,0,0,0
خعمرا,توسعه و عمران شهرستان نائين,74,2127777,24235380030,11740,11390,11390,-350,-2.98,11390,-350,-2.98,11390,11390,83,137.23,0,0,0,11390,7204113,193
ممسني,پتروشيمي ممسني,74,1308604,27848980200,20700,20650,21300,600,2.9,21300,600,2.9,20650,21300,-10,-2130,13,1342718,21300,0,0,0
وارس,سرمايه گذاري ارس صبا,68,3634063,94123094200,25850,25850,26600,750,2.9,25900,50,0.19,25550,26600,2470,10.49,9,857381,26600,0,0,0
خفناور,مهندسي صنعتي روان فن آور,67,372541,13523238300,35250,36300,36300,1050,2.98,35900,650,1.84,36300,36300,507,70.81,20,334054,36300,36400,5000,1
ثاصفا,شركت‌ ساختمان‌ اصفهان‌,64,2204802,48615884100,22700,22050,22050,-650,-2.86,22050,-650,-2.86,22050,22050,-84,-262.5,0,0,0,22050,1197748,64
شكف,كف,63,142590,5553880500,39700,38950,38950,-750,-1.89,39250,-450,-1.13,38950,38950,-2842,-13.81,0,0,0,38950,264717,12
بتك,كارخانجات كابل سازي‌ تك‌,62,20644,6187368400,304100,298050,298100,-6000,-1.97,301300,-2800,-0.92,298050,310100,636,473.74,1,54,298100,309750,250,1
وبرق,س.کارکنان صنعت برق زنجان وقزوي,59,144151,8043625800,54200,55800,55800,1600,2.95,54800,600,1.11,55800,55800,20702,2.65,468,11668266,55800,0,0,0
سخواف,سيمان مجد خواف,58,1919063,3037876729,1537,1583,1583,46,2.99,1583,46,2.99,1583,1583,-4,-395.75,544,87230660,1583,0,0,0
فافق,صنايع مس افق كرمان,58,2295086,15950847700,6750,6950,6950,200,2.96,6950,200,2.96,6950,6950,683,10.18,29,3341274,6950,0,0,0
قتربت,قند تربت حيدريه,57,369805,9037043100,24850,25550,24150,-700,-2.82,24650,-200,-0.8,24150,25550,441,55.9,0,0,0,24150,739840,71
خفولا,خدمات فني فولاد يزد,56,162307,6021589700,38200,37100,37100,-1100,-2.88,37850,-350,-0.92,37100,37100,159,238.05,0,0,0,37100,11148736,193
گكوثر,هتل پارسيان كوثر اصفهان,55,832724,1830327352,2094,2198,2198,104,4.97,2106,12,0.57,2198,2198,100,21.06,1349,163966978,2198,0,0,0
ساذري,آذريت‌,53,281642,3129042620,10790,11110,11110,320,2.97,10840,50,0.46,11110,11110,27,401.48,43,1465482,11110,0,0,0
ولراز,ليزينگ رازي,51,298585,12719721000,41400,42600,42600,1200,2.9,42600,1200,2.9,42600,42600,-406,-104.93,66,1161364,42600,0,0,0
آينده,بازرگاني آينده سازان بهشت پارس,50,1100535,9310526100,8630,8460,8460,-170,-1.97,8460,-170,-1.97,8460,8460,-829,-10.21,1,12391,8070,8460,2030784,106
ولقمان,سرمايه گذاري لقمان,49,3151212,20325317400,6270,6450,6450,180,2.87,6440,170,2.71,6450,6450,561,11.48,75,7169511,6450,0,0,0
دفرا,فرآورده‌هاي‌ تزريقي‌ ايران‌,48,63843,2094205200,32780,33390,32970,190,0.58,32780,0,0,32600,33390,3812,8.6,1,167,32850,32970,454,1
كصدف,كاشي صدف سرام استقلال آباده,46,263610,8435520000,31100,32000,32000,900,2.89,31450,350,1.13,32000,32000,1925,16.34,29,719375,32000,32700,10000,1
سپرمي,پرميت‌,46,113543,4995892000,43600,44000,44000,400,0.92,44000,400,0.92,44000,44000,970,45.36,13,45130,44000,0,0,0
گكيش,توريستي ورفاهي آبادگران كيش,44,157070,4342985500,28500,27650,27650,-850,-2.98,28300,-200,-0.7,27650,27650,287,98.61,0,0,0,27650,1958758,176
ثتوسا,س.توسعه و عمران استان اردبيل,43,303866,7459910300,23850,24550,24550,700,2.94,24550,700,2.94,24550,24550,-120,-204.58,29,496193,24550,0,0,0
ولانا,شركت ليزينگ آريا دانا,42,449270,17768628500,38400,39550,39550,1150,2.99,39350,950,2.47,39550,39550,582,67.61,92,1567456,39550,0,0,0
بهير,س. توسعه تجارت هيرمند,42,337548,4060702440,11680,12030,12030,350,3,12030,350,3,12030,12030,164,73.35,117,6395397,12030,0,0,0
وآتوس,توسعه س. كشاورزي آرين توسكا,38,52105,16884625250,314650,324050,324050,9400,2.99,321800,7150,2.27,324050,324050,-504,-638.49,105,271028,324050,0,0,0
فكمند,گسترش قطعه سازي كمند,37,480460,19626791000,39700,40850,40850,1150,2.9,39850,150,0.38,40850,40850,52,766.35,18,520065,40850,0,0,0
فن آوا,گروه فن آوا,36,1198817,8115991090,6970,6770,6770,-200,-2.87,6890,-80,-1.15,6770,6770,274,25.15,1,7600,6600,6770,6747972,210
وملت,سرمايه گذاري ملت,36,884539,3301984087,3660,3733,3733,73,1.99,3733,73,1.99,3733,3733,29,128.72,80,10116669,3733,0,0,0
كاريز,بيمه زندگي كاريزما50%تاديه,34,1217636,2650793572,2114,2177,2177,63,2.98,2177,63,2.98,2177,2177,161,13.52,491,46916120,2177,0,0,0
خليبل,ماليبل سايپا,32,169727,5634936400,32250,33200,33200,950,2.95,32500,250,0.78,33200,33200,-1,-32500,46,246201,33200,34550,1537,1
ومشان,س. فني و مهندسي مشانير,29,114973,25587241150,229400,222550,222550,-6850,-2.99,222550,-6850,-2.99,222550,222550,859,259.08,0,0,0,222550,83709,55
قيستو,شركت قند بيستون,28,107950,3173730000,30300,29400,29400,-900,-2.97,30150,-150,-0.5,29400,29400,701,43.01,0,0,0,29400,402216,26
لازما,كارخانه هاي صنعتي آزمايش,26,127454,4065782600,31300,31900,31900,600,1.92,31900,600,1.92,31900,31900,203,157.14,44,5962302,31900,0,0,0
لخانه,لوازم‌ خانگي‌ پارس‌,26,150743,4665495850,31900,30950,30950,-950,-2.98,31650,-250,-0.78,30950,30950,82,385.98,0,0,0,30950,297815,27
ثقزوي,شركت عمران و سازندگي قزوين,26,306809,4712586240,15830,15360,15360,-470,-2.97,15710,-120,-0.76,15360,15360,245,64.12,0,0,0,15360,2287000,154
وثخوز,سرمايه گذاري و توسعه خوزستان,23,58089,2256757650,37750,38850,38850,1100,2.91,37850,100,0.26,38850,38850,2841,13.32,28,1236156,38850,0,0,0
فبستم,صنايع ‌بسته‌بندي‌ مشهد,22,242635,3018379400,12820,12440,12440,-380,-2.96,12760,-60,-0.47,12440,12440,104,122.69,0,0,0,12440,893394,59
وتوسكا,سرمايه گذاري توسعه توكا,22,244059,2123313300,8450,8700,8700,250,2.96,8700,250,2.96,8700,8700,1956,4.45,372,6997461,8700,0,0,0
تشتاد,صنايع توليدي اشتاد ايران‌,20,436173,3284382690,7760,7530,7530,-230,-2.96,7730,-30,-0.39,7530,7530,20,386.5,0,0,0,7530,2561629,90
سمتاز,سيمان ممتازان كرمان,20,33005,1678450500,51000,50900,50900,-100,-0.2,51000,0,0,50650,50900,5482,9.3,1,1000,50700,50900,9882,1
فنرژي,گسترش صنايع انرژي آذرآب,19,87047,3198977250,37500,36750,36750,-750,-2,37250,-250,-0.67,36750,36750,-4948,-7.53,0,0,0,36750,811946,58
شتولي,تولي‌پرس‌,17,107901,2314476450,21050,21450,21450,400,1.9,21150,100,0.48,21450,21450,-705,-30,8,369172,21450,0,0,0
تابا,تابان نيرو سپاهان,16,59677,2055872650,35500,34450,34450,-1050,-2.96,35400,-100,-0.28,34450,34450,43,823.26,0,0,0,34450,419701,50
ثعتما,س. ساختماني اعتماد گستر,10,63773,918331200,14690,14400,14400,-290,-1.97,14660,-30,-0.2,14400,14400,109,134.5,0,0,0,14400,1831359,77
سي تيپ2ن41,گواهي سيمان تيپ2بوكان(ن),10,515000,4381620000,8508,8508,8508,0,0,8508,0,0,8508,8508,0,0,0,0,0,8508,720000,1
كمينا,شيشه سازي مينا,10,47680,632236800,13670,13260,13260,-410,-3,13660,-10,-0.07,13260,13260,-96,-142.29,0,0,0,13260,13650760,197
كهرام,توليدي گرانيت بهسرام,10,12802,665063900,53000,51950,51950,-1050,-1.98,52950,-50,-0.09,51950,51950,-2598,-20.38,0,0,0,51950,969825,184
رفاه,فروشگاه هاي زنجيره اي رفاه,10,1793,619571150,356200,345550,345550,-10650,-2.99,356100,-100,-0.03,345550,345550,34966,10.18,0,0,0,345550,236921,80
بايكا,كارخانجات كابلسازي ‌ايران‌,9,5638,103119020,17760,18290,18290,530,2.98,17760,0,0,18290,18290,105,169.14,54,1883948,18290,0,0,0
وآفر,سرمايه گذاري ارزش آفرينان,9,128601,2211937200,16700,17200,17200,500,2.99,16710,10,0.06,17200,17200,6880,2.43,84,8345540,17200,0,0,0
فسديد,لوله‌وتجهيزات‌ سديد - ورشكسته,7,52741,5031491400,94500,95400,95400,900,0.95,95400,900,0.95,95400,95400,-10614,-8.99,16,189277,95400,0,0,0
پشاهن,توليدي پلاستيك‌ شاهين,7,8099,587582450,70450,72550,72550,2100,2.98,70500,50,0.07,72550,72550,1625,43.38,10,60581,72550,0,0,0
سي تيپ2ن17,گواهي سيمان تيپ2ماهان كرمان(ن),5,124000,1264676000,10199,10199,10199,0,0,10199,0,0,10199,10199,0,0,0,0,0,10199,876000,1
خبهمن2,گروه‌بهمن‌,4,47570227,121304078850,2473,2550,2550,77,3.11,2550,77,3.11,2550,2550,52,49.04,0,0,0,0,0,0
سي تيپ2ن24,گواهي سيمان تيپ2هگمتان(ن),4,85000,676005000,7953,7953,7953,0,0,7953,0,0,7953,7953,0,0,1,36000,7197,7953,915000,10
شليا,شركت مواد ويژه ليا,4,7625,475800000,64300,62400,62400,-1900,-2.95,64250,-50,-0.08,62400,62400,107,600.47,0,0,0,62400,103960,24
كابگن,توليدي و صنعتي آبگينه‌,3,29006,230597700,7800,7950,7950,150,1.92,7810,10,0.13,7950,7950,2388,3.27,0,0,0,0,0,0
توسن2,توسعه سامانه ي نرم افزاري نگين,3,29900000,568100000000,18890,19000,19000,110,0.58,19000,110,0.58,19000,19000,957,19.85,0,0,0,0,0,0
سخاش2,سيمان‌خاش‌,3,1115400,99872916000,90450,89540,89540,-910,-1.01,89540,-910,-1.01,89540,89540,11611,7.71,0,0,0,0,0,0
سي تيپ2ن31,گواهي سيمان تيپ2گيلان سبز(ن),3,100000,766100000,7661,7661,7661,0,0,7661,0,0,7661,7661,0,0,1,42000,7661,0,0,0
وگردش2,بانك گردشگري,2,66670705,698708988400,10480,10480,10480,0,0,10480,0,0,10480,10480,452,23.19,0,0,0,0,0,0
سي تيپ2ن02,گواهي سيمان تيپ2صوفيان(ن),2,40000,412000000,10300,10300,10300,0,0,10300,0,0,10300,10300,0,0,0,0,0,10300,1960000,1
سيتا2,سرمايه گذاري سيمان تامين,2,13607558,219081683800,16170,16100,16100,-70,-0.43,16100,-70,-0.43,16100,16100,1458,11.04,0,0,0,0,0,0
شغدير2,پتروشيمي غدير,2,2050000,197275000000,94140,95500,97000,2860,3.04,96232,2092,2.22,95500,97000,8660,11.11,0,0,0,0,0,0
سي تيپ2ن19,گواهي سيمان تيپ2غرب آسيا(ن),2,121000,732897000,6057,6057,6057,0,0,6057,0,0,6057,6057,0,0,0,0,0,6057,1496000,1
وپاسار2,بانك  پاسارگاد,2,526037424,1767485744640,3263,3360,3360,97,2.97,3360,97,2.97,3360,3360,721,4.66,0,0,0,0,0,0
شپنا2,پالايش نفت اصفهان,1,20900000,200013000000,9570,9570,9570,0,0,9570,0,0,9570,9570,1462,6.55,0,0,0,0,0,0
فايرا2,آلومينيوم‌ايران‌,1,87000000,800400000000,9100,9200,9200,100,1.1,9200,100,1.1,9200,9200,732,12.57,0,0,0,0,0,0
سي تيپ2ن11,گواهي سيمان تيپ2دورود(ن),1,32000,271488000,8484,8484,8484,0,0,8484,0,0,8484,8484,0,0,0,0,0,8484,1768000,9
وسپه2,سرمايه‌گذاري‌ سپه‌,1,5830000,34980000000,5930,6000,6000,70,1.18,6000,70,1.18,6000,6000,1036,5.79,0,0,0,0,0,0
سي تيپ2ن23,گواهي سيمان تيپ2فراز(ن),1,55000,394735000,7177,7177,7177,0,0,7177,0,0,7177,7177,0,0,0,0,0,7177,445000,1
شگل2,گلتاش‌,1,6200000,49724000000,8020,8020,8020,0,0,8020,0,0,8020,8020,520,15.42,0,0,0,0,0,0
شخارك2,پتروشيمي‌ خارك‌,1,1100000,74162000000,66600,67420,67420,820,1.23,67420,820,1.23,67420,67420,6412,10.51,0,0,0,0,0,0
شدوص2,دوده‌ صنعتي‌ پارس‌,1,2700000,48465000000,17670,17950,17950,280,1.58,17950,280,1.58,17950,17950,1927,9.31,0,0,0,0,0,0
سي تيپ2ن08,گواهي سيمان تيپ 2زنجان(ن),1,11000,91267000,8297,8297,8297,0,0,8297,0,0,8297,8297,0,0,0,0,0,8297,2089000,1
سي تيپ2ن29,گواهي سيمان تيپ2فيروزكوه(ن),1,50000,339700000,6794,6794,6794,0,0,6794,0,0,6794,6794,0,0,0,0,0,6794,1110000,1
جخوز0000,آتي فخوز-1402/03/02,1,1,204795,4428,4625,4625,197,4.45,4630,202,4.56,4625,4625,0,0,0,0,0,0,0,0
سي تيپ2ن01,گواهي سيمان تيپ 2 فارس(ن),1,20000,228120000,11406,11406,11406,0,0,11406,0,0,11406,11406,0,0,0,0,0,11406,780000,8
شاملا2,معدني‌ املاح‌  ايران‌,1,2300000,48622000000,20140,21140,21140,1000,4.97,21140,1000,4.97,21140,21140,1419,14.9,0,0,0,0,0,0
سي تيپ2ن07,گواهي سيمان تيپ 2تهران(ن),1,20000,186780000,9339,9339,9339,0,0,9339,0,0,9339,9339,0,0,0,0,0,9339,80000,1
سي تيپ2ن12,گواهي سيمان تيپ2خزر(ن),1,10000,74230000,7423,7423,7423,0,0,7423,0,0,7423,7423,0,0,0,0,0,7423,1390000,5
غزر2,صنعتي زر ماكارون,1,23000000,101200000000,4281,4400,4400,119,2.78,4400,119,2.78,4400,4400,451,9.76,0,0,0,0,0,0
جستا0006,آتي شستا-1402/02/31,1,1,18782,1395,1409,1409,14,1,1415,20,1.43,1409,1409,0,0,0,0,0,0,0,0
بپاس2,بيمه پاسارگاد,1,80000000,1788000000000,21650,22350,22350,700,3.23,22350,700,3.23,22350,22350,572,39.07,0,0,0,0,0,0
جستا0007,آتي شستا-1402/03/02,1,2,37619,1334,1410,1410,76,5.7,1418,84,6.3,1410,1410,0,0,0,0,0,0,0,0
غدشت2,دشت‌ مرغاب‌,1,6000000,205800000000,33770,34300,34300,530,1.57,34300,530,1.57,34300,34300,409,83.86,0,0,0,0,0,0
وتجارت2,بانك تجارت,1,100000000,252000000000,2466,2520,2520,54,2.19,2520,54,2.19,2520,2520,206,12.23,0,0,0,0,0,0
سي تيپ2ن32,گواهي سيمان تيپ2هرمزگان(ن),1,25000,250425000,10017,10017,10017,0,0,10017,0,0,10017,10017,0,0,0,0,0,10017,475000,1
سي تيپ2ن37,گواهي سيمان تيپ2شمال(ن),1,21000,182679000,8699,8699,8699,0,0,8699,0,0,8699,8699,0,0,0,0,0,8699,608000,1
نبروج,نساجي بروجرد,0,0,0,8450,8610,8450,0,0,8450,0,0,0,0,290,29.14,26,835646,8610,0,0,0
كورز,ورزيران‌,0,0,0,7130,7340,7130,0,0,7130,0,0,0,0,106,67.26,140,4977301,7340,0,0,0
سي تيپ2ن03,گواهي سيمان تيپ2اروميه(ن),0,0,0,7455,0,7455,0,0,7455,0,0,0,0,0,0,1,10000,8328,0,0,0
سي تيپ2ن20,گواهي سيمان تيپ2كوير كاشان(ن),0,0,0,8873,0,8873,0,0,8873,0,0,0,0,0,0,0,0,0,9588,100000,1
سايرا,ايرانيت‌,0,0,0,50650,51650,50650,0,0,50650,0,0,0,0,22971,2.2,43,532682,51650,0,0,0
سي تيپ2ن38,گواهي سيمان تيپ2مازندران(ن),0,0,0,8413,0,8413,0,0,8413,0,0,0,0,0,0,0,0,0,8413,1430000,1
حرهشا,رهشاد سپاهان (سهامي عام,0,0,0,169450,174500,173700,0,0,169450,0,0,0,0,-625,-271.12,48,367230,174500,0,0,0
تكنار,مجتمع معادن مس تكنار,0,0,0,65900,67850,65900,0,0,65900,0,0,0,0,1519,43.38,63,1218067,67850,0,0,0
دتهران‌,داروسازي‌ تهران‌ دارو,0,0,0,2000,0,2000,0,0,2000,0,0,0,0,1301,1.54,19,1273795,2040,0,0,0
سي تيپ2ن30,گواهي سيمان تيپ2كرمان(ن),0,0,0,10318,0,10318,0,0,10318,0,0,0,0,0,0,2,50000,10956,0,0,0
سي تيپ2ن15,گواهي سيمان تيپ2قاين(ن),0,0,0,7077,0,7077,0,0,7077,0,0,0,0,0,0,0,0,0,7079,700000,7
سي تيپ2ن05,گواهي سيمان تيپ 2خاش(ن),0,0,0,8963,0,8963,0,0,8963,0,0,0,0,0,0,0,0,0,8963,962000,1
سي تيپ2ن06,گواهي سيمان تيپ 2شاهرود(ن),0,0,0,9756,0,9756,0,0,9756,0,0,0,0,0,0,0,0,0,9756,1000000,1
سي تيپ2ن04,گواهي سيمان تيپ2فارس نو(ن),0,0,0,11858,0,11858,0,0,11858,0,0,0,0,0,0,0,0,0,11858,600000,6
جهرم,پتروشيمي جهرم,0,0,0,1213,1249,1241,0,0,1213,0,0,0,0,-7,-173.29,180,27366508,1249,0,0,0
سي تيپ2ن09,گواهي سيمان تيپ 2خوزستان(ن),0,0,0,9469,0,9469,0,0,9469,0,0,0,0,0,0,0,0,0,9454,1700000,1
سي تيپ2ن13,گواهي سيمان تيپ2بجنورد(ن),0,0,0,6565,0,6565,0,0,6565,0,0,0,0,0,0,0,0,0,6895,2500000,1
چنوپا,نيوپان‌ 22 بهمن‌,0,0,0,66850,68850,66850,0,0,66850,0,0,0,0,474,141.03,53,362371,68850,0,0,0
فسا,پتروشيمي فسا,0,0,0,1046,1077,1074,0,0,1046,0,0,0,0,48,21.79,250,40740040,1077,0,0,0
شگامرن,مجتمع پترو صنعت گامرون,0,0,0,731300,765350,710000,0,0,731300,0,0,0,0,1867,391.7,0,0,0,765350,301,1
نشار,كارخانجات پشمبافي افشار يزد,0,0,0,1,0,1,0,0,1,0,0,0,0,3117,0,15,1500000,1,0,0,0
سي تيپ2ن34,گواهي سيمان تيپ2ممتازان(ن),0,0,0,10934,0,10934,0,0,10934,0,0,0,0,0,0,3,63000,10934,0,0,0
سي تيپ2ن10,گواهي سيمان تيپ 2غرب(ن),0,0,0,8610,0,8610,0,0,8610,0,0,0,0,0,0,0,0,0,9418,200000,2
غگز,گز سكه,0,0,0,4995,5244,5117,0,0,4995,0,0,0,0,198,25.23,48,2250566,5244,6130,20000,1
سي تيپ2ن25,گواهي سيمان تيپ2نهاوند(ن),0,0,0,8729,0,8729,0,0,8729,0,0,0,0,0,0,0,0,0,8729,1308000,1
شتهران,داروسازي تهران شيمي,0,0,0,23200,23650,23200,0,0,23200,0,0,0,0,1364,17.01,44,1378763,23650,0,0,0
سي تيپ2ن14,گواهي سيمان تيپ2ساوه(ن),0,0,0,9551,0,9551,0,0,9551,0,0,0,0,0,0,0,0,0,9551,3000000,1
سي تيپ2ن33,گواهي سيمان تيپ2ساروج بوشهر(ن),0,0,0,9924,0,9924,0,0,9924,0,0,0,0,0,0,0,0,0,10048,1087000,1
تفيرو,مهندسي فيروزا,0,0,0,40750,41950,40750,0,0,40750,0,0,0,0,12081,3.37,18,227424,41950,0,0,0
ثاژن,سخت آژند,0,0,0,6170,6290,6270,0,0,6170,0,0,0,0,-173,-35.66,23,1219325,6290,0,0,0
